International plan,Voice mail plan,Account length,Total day charge,Customer service calls,Churn,State,churn_probability,predicted_churn,risk_tier
Yes,Yes,131,49.79,4,Yes,ME,0.84,Yes,Critical
No,No,63,14.11,0,No,DC,0.08,No,Low
No,Yes,53,24.77,3,No,MN,0.03,No,Low
No,No,62,30.99,2,No,DE,0.11,No,Low
No,No,97,37.06,3,No,MD,0.03,No,Low
No,No,105,23.9,2,No,MI,0.01,No,Low
No,No,157,25.96,1,No,WA,0.01,No,Low
No,Yes,66,18.14,1,No,MO,0.04,No,Low
No,No,38,33.05,3,No,OR,0.0,No,Low
No,No,106,36.36,3,No,MD,0.01,No,Low
No,No,99,36.92,3,No,RI,0.02,No,Low
Yes,No,144,34.6,0,No,AZ,0.1,No,Low
No,Yes,82,26.38,1,No,PA,0.04,No,Low
No,Yes,86,28.49,1,No,AZ,0.01,No,Low
Yes,No,70,38.54,2,Yes,FL,0.7,Yes,High
No,No,93,30.48,3,No,LA,0.0,No,Low
No,No,93,25.74,0,No,FL,0.0,No,Low
No,No,120,30.6,3,No,FL,0.01,No,Low
No,No,136,42.53,1,Yes,MD,0.8,Yes,Critical
No,No,106,37.91,0,No,AL,0.0,No,Low
No,No,81,31.21,3,No,WA,0.0,No,Low
No,Yes,127,28.22,1,No,TN,0.09,No,Low
No,No,35,25.38,2,No,ME,0.0,No,Low
No,No,88,11.12,2,No,OK,0.02,No,Low
No,No,123,35.17,3,No,MO,0.03,No,Low
No,Yes,126,31.65,2,No,IA,0.0,No,Low
No,Yes,104,47.63,4,No,VA,0.08,No,Low
Yes,No,93,53.04,0,Yes,MD,0.87,Yes,Critical
Yes,Yes,63,33.83,1,No,OH,0.04,No,Low
No,No,100,34.53,3,No,OK,0.03,No,Low
No,No,53,28.7,0,No,NV,0.01,No,Low
Yes,No,92,29.43,1,No,ID,0.02,No,Low
No,Yes,110,34.44,2,No,SD,0.06,No,Low
No,No,110,12.67,3,No,IL,0.02,No,Low
No,No,73,32.67,1,No,AL,0.01,No,Low
No,No,138,37.43,0,No,NJ,0.02,No,Low
Yes,No,137,22.97,2,Yes,NV,0.88,Yes,Critical
No,No,36,43.08,1,No,IN,0.07,No,Low
No,No,85,38.25,3,No,WV,0.03,No,Low
No,No,108,33.75,0,Yes,VA,0.05,No,Low
No,No,22,18.75,0,No,SC,0.02,No,Low
No,Yes,107,10.2,0,No,RI,0.02,No,Low
No,No,51,36.52,0,No,IN,0.02,No,Low
No,Yes,33,26.76,4,Yes,OR,0.4,No,Medium
No,No,106,35.34,4,No,NJ,0.22,No,Low
No,No,82,35.19,3,No,MS,0.01,No,Low
Yes,No,97,24.43,0,No,TX,0.12,No,Low
No,No,108,23.56,1,No,DC,0.01,No,Low
No,No,114,14.4,1,No,TX,0.03,No,Low
No,No,59,26.38,1,No,UT,0.0,No,Low
No,Yes,24,28.03,1,No,MN,0.05,No,Low
No,No,151,22.87,1,No,IL,0.01,No,Low
No,No,117,24.36,1,No,NM,0.01,No,Low
No,Yes,114,35.05,1,No,WV,0.03,No,Low
No,Yes,114,38.39,4,No,RI,0.07,No,Low
No,No,119,23.51,3,No,NH,0.04,No,Low
Yes,No,118,27.2,2,No,MA,0.09,No,Low
No,No,101,35.12,0,No,PA,0.0,No,Low
No,No,117,22.9,1,No,OK,0.02,No,Low
No,Yes,49,36.45,3,No,AL,0.0,No,Low
No,No,139,32.78,3,No,WY,0.01,No,Low
No,Yes,92,25.69,1,No,PA,0.03,No,Low
Yes,No,148,37.21,0,No,HI,0.03,No,Low
No,Yes,131,32.76,2,No,AL,0.0,No,Low
Yes,No,146,34.75,3,No,VT,0.09,No,Low
No,Yes,48,35.99,1,No,AK,0.01,No,Low
No,Yes,86,37.67,1,No,MI,0.06,No,Low
No,No,71,33.64,3,No,DE,0.04,No,Low
No,No,137,35.09,2,No,MI,0.01,No,Low
No,No,137,35.0,2,No,KS,0.0,No,Low
No,No,167,35.29,0,No,AL,0.05,No,Low
No,No,132,16.92,0,No,NE,0.01,No,Low
No,No,94,30.11,1,No,WI,0.01,No,Low
No,Yes,96,29.36,1,No,WI,0.0,No,Low
No,No,166,34.71,1,No,IN,0.01,No,Low
No,No,74,14.57,2,No,DC,0.06,No,Low
No,No,36,26.79,0,No,AR,0.02,No,Low
No,No,113,36.64,4,No,ME,0.08,No,Low
No,No,67,29.19,2,No,MD,0.0,No,Low
No,No,158,26.86,1,No,IA,0.02,No,Low
No,No,136,15.64,1,No,AZ,0.07,No,Low
No,No,196,39.78,2,No,MO,0.08,No,Low
No,No,113,46.26,1,Yes,VT,0.97,Yes,Critical
No,No,112,33.05,0,No,RI,0.01,No,Low
No,No,209,38.62,3,No,SD,0.18,No,Low
No,No,62,42.28,1,Yes,MN,0.79,Yes,Critical
No,Yes,110,40.17,1,No,TX,0.01,No,Low
No,No,16,34.95,0,No,VA,0.0,No,Low
No,No,73,16.0,0,No,MA,0.05,No,Low
No,No,128,21.28,0,No,ID,0.03,No,Low
No,No,39,10.27,1,No,MA,0.05,No,Low
No,Yes,103,20.57,2,No,GA,0.02,No,Low
No,Yes,119,20.03,3,No,RI,0.04,No,Low
No,Yes,173,39.51,3,No,ID,0.05,No,Low
Yes,Yes,128,38.0,2,Yes,SD,0.82,Yes,Critical
No,No,86,29.97,0,No,MA,0.01,No,Low
No,Yes,114,21.28,1,No,WY,0.01,No,Low
No,No,104,23.58,0,No,VA,0.0,No,Low
No,No,148,14.67,1,No,OR,0.01,No,Low
No,No,129,35.19,3,No,VA,0.0,No,Low
No,Yes,100,10.0,0,No,ME,0.03,No,Low
No,Yes,143,40.66,1,No,GA,0.02,No,Low
No,No,76,33.71,0,No,IA,0.03,No,Low
No,No,158,34.88,0,No,AZ,0.01,No,Low
No,No,116,32.66,3,No,FL,0.01,No,Low
No,No,54,46.34,1,Yes,MT,0.89,Yes,Critical
No,No,86,21.81,7,Yes,AL,0.84,Yes,Critical
No,No,108,28.83,0,No,DE,0.0,No,Low
No,No,66,34.22,1,No,MT,0.02,No,Low
No,Yes,151,36.5,1,No,KY,0.04,No,Low
No,No,99,28.76,0,No,SC,0.08,No,Low
No,No,55,33.0,2,No,WA,0.03,No,Low
No,No,78,38.27,0,No,AK,0.04,No,Low
No,No,89,36.21,1,Yes,GA,0.04,No,Low
No,No,101,31.26,1,No,MN,0.01,No,Low
No,Yes,44,37.71,0,No,IL,0.03,No,Low
No,Yes,98,10.98,2,No,IN,0.01,No,Low
No,Yes,64,26.28,1,No,SC,0.0,No,Low
No,No,141,44.23,3,No,VA,0.02,No,Low
No,Yes,81,27.47,1,No,WI,0.02,No,Low
No,No,162,37.5,1,No,VT,0.01,No,Low
No,Yes,83,26.5,3,No,AZ,0.01,No,Low
No,No,100,18.19,4,Yes,FL,0.93,Yes,Critical
No,No,59,31.03,4,No,AK,0.05,No,Low
Yes,Yes,179,37.42,4,No,AR,0.2,No,Low
No,No,79,25.87,1,No,AR,0.02,No,Low
No,No,117,30.86,2,No,AK,0.05,No,Low
No,No,31,28.24,1,No,ME,0.02,No,Low
No,Yes,122,22.81,2,No,NM,0.01,No,Low
Yes,Yes,37,25.45,1,No,NE,0.08,No,Low
No,Yes,90,25.52,1,No,SC,0.01,No,Low
Yes,No,159,43.71,1,Yes,CO,0.83,Yes,Critical
No,Yes,39,24.09,1,No,OH,0.01,No,Low
No,No,194,27.59,0,No,OK,0.04,No,Low
No,No,154,59.64,1,Yes,CO,0.99,Yes,Critical
No,No,112,32.86,4,No,NC,0.19,No,Low
No,No,45,13.29,1,No,MD,0.05,No,Low
No,No,132,14.18,1,No,KS,0.08,No,Low
No,No,128,33.25,0,No,MA,0.03,No,Low
No,No,56,33.49,2,No,NM,0.0,No,Low
Yes,No,151,37.06,0,Yes,CA,0.86,Yes,Critical
No,No,32,28.02,2,No,NY,0.06,No,Low
No,No,90,30.46,2,No,AZ,0.09,No,Low
No,No,138,28.99,2,No,DC,0.02,No,Low
No,No,79,34.97,1,No,ND,0.0,No,Low
Yes,No,95,28.14,1,Yes,MO,0.86,Yes,Critical
No,No,127,37.57,2,No,KS,0.01,No,Low
No,No,137,41.16,3,No,SD,0.09,No,Low
No,No,97,25.77,1,No,OK,0.0,No,Low
Yes,No,149,29.95,0,No,OR,0.02,No,Low
Yes,Yes,117,33.32,1,No,IN,0.1,No,Low
No,No,84,27.12,2,No,OH,0.02,No,Low
No,No,137,39.13,4,No,KS,0.08,No,Low
No,No,99,24.94,3,No,CT,0.03,No,Low
No,No,85,17.34,1,No,WI,0.02,No,Low
No,No,150,21.42,3,No,MS,0.0,No,Low
No,No,43,28.63,1,No,WV,0.02,No,Low
No,No,98,35.11,5,No,MD,0.13,No,Low
No,No,112,36.91,2,No,PA,0.02,No,Low
No,No,16,39.03,0,Yes,WI,0.69,Yes,High
No,Yes,98,47.31,0,No,TN,0.12,No,Low
No,No,84,30.86,1,No,IL,0.01,No,Low
No,No,66,28.44,1,Yes,DC,0.65,Yes,High
No,Yes,98,20.57,1,No,GA,0.0,No,Low
No,No,74,37.59,0,No,ID,0.03,No,Low
No,No,119,37.88,1,No,KY,0.0,No,Low
No,No,73,31.18,4,No,OH,0.05,No,Low
Yes,No,92,44.93,0,No,WI,0.16,No,Low
No,No,21,24.82,0,No,IL,0.02,No,Low
No,No,122,26.71,4,Yes,DE,0.53,Yes,Medium
Yes,No,133,21.64,1,No,RI,0.05,No,Low
No,No,145,31.94,2,No,TX,0.04,No,Low
No,No,25,30.4,2,No,OR,0.0,No,Low
No,No,126,43.61,3,No,MS,0.03,No,Low
No,No,76,28.82,0,No,OR,0.0,No,Low
No,No,113,40.75,2,Yes,DE,0.9,Yes,Critical
Yes,No,224,29.16,1,Yes,DE,0.57,Yes,High
No,Yes,128,24.19,1,No,SD,0.02,No,Low
No,No,115,31.3,2,No,NV,0.05,No,Low
No,Yes,141,35.17,2,No,NM,0.04,No,Low
No,No,51,44.18,1,No,MN,0.11,No,Low
No,No,100,34.65,0,No,NJ,0.11,No,Low
No,Yes,96,42.3,3,No,IN,0.02,No,Low
No,No,163,20.81,1,No,ME,0.02,No,Low
No,Yes,67,17.83,1,No,NH,0.03,No,Low
No,No,49,20.3,2,No,OR,0.06,No,Low
No,No,46,42.55,2,Yes,KS,0.84,Yes,Critical
No,No,148,30.31,1,No,NE,0.01,No,Low
No,No,112,41.38,1,No,MI,0.05,No,Low
No,No,78,26.35,2,No,SC,0.02,No,Low
No,Yes,61,49.08,0,No,PA,0.07,No,Low
No,Yes,58,40.87,1,No,MT,0.02,No,Low
No,No,155,32.35,1,No,NM,0.04,No,Low
No,No,100,47.26,0,Yes,OH,0.6,Yes,High
No,No,113,26.35,1,No,WY,0.08,No,Low
No,Yes,135,46.48,1,No,AR,0.03,No,Low
No,No,99,26.4,0,No,FL,0.02,No,Low
No,Yes,59,22.63,1,No,AR,0.02,No,Low
No,No,135,41.96,1,No,MO,0.02,No,Low
Yes,No,85,28.12,2,No,WI,0.14,No,Low
No,No,88,23.51,3,No,TX,0.0,No,Low
No,No,55,48.74,2,No,NM,0.17,No,Low
No,No,75,19.94,1,No,GA,0.01,No,Low
No,Yes,86,38.34,0,No,KS,0.01,No,Low
No,No,97,43.59,1,Yes,OH,0.95,Yes,Critical
No,No,88,45.02,1,Yes,MA,0.86,Yes,Critical
No,No,54,27.17,2,No,KY,0.01,No,Low
No,Yes,11,32.4,3,No,DC,0.0,No,Low
No,No,109,31.28,0,No,WA,0.01,No,Low
No,No,90,44.51,1,No,UT,0.08,No,Low
No,No,91,22.73,0,No,NV,0.02,No,Low
No,Yes,105,32.9,0,No,ND,0.0,No,Low
Yes,No,71,30.29,3,Yes,NV,0.8,Yes,Critical
No,Yes,132,38.45,3,Yes,FL,0.58,Yes,High
No,No,112,28.97,1,No,MD,0.0,No,Low
No,Yes,41,33.05,2,No,AL,0.05,No,Low
No,No,44,40.85,1,No,NE,0.1,No,Low
No,No,78,12.75,3,No,NV,0.0,No,Low
No,No,149,11.75,1,No,IL,0.04,No,Low
No,Yes,72,16.42,4,Yes,WV,0.74,Yes,High
No,No,74,25.25,3,No,AR,0.0,No,Low
No,No,50,43.88,1,No,UT,0.06,No,Low
No,Yes,141,25.45,3,No,GA,0.02,No,Low
No,No,140,25.47,1,No,AZ,0.0,No,Low
No,No,99,32.37,2,No,ID,0.03,No,Low
No,No,166,30.84,1,No,HI,0.01,No,Low
No,No,74,26.47,0,No,MD,0.01,No,Low
No,No,117,25.48,2,No,GA,0.01,No,Low
No,No,85,37.79,3,No,GA,0.02,No,Low
No,Yes,36,25.4,0,No,UT,0.03,No,Low
No,No,76,34.71,0,No,IN,0.06,No,Low
No,No,165,41.29,1,No,VT,0.05,No,Low
No,No,130,25.57,1,No,IA,0.01,No,Low
Yes,No,92,22.22,2,Yes,ME,0.87,Yes,Critical
No,No,18,46.51,1,No,MD,0.14,No,Low
Yes,No,161,26.54,2,No,FL,0.06,No,Low
No,Yes,93,30.38,2,No,CA,0.07,No,Low
No,No,144,30.18,2,No,AL,0.03,No,Low
No,No,95,29.78,1,No,WV,0.01,No,Low
No,Yes,124,42.74,1,No,FL,0.04,No,Low
Yes,No,93,36.87,1,Yes,MI,0.93,Yes,Critical
Yes,Yes,109,36.92,0,No,MI,0.06,No,Low
No,No,80,35.07,0,No,NM,0.0,No,Low
No,No,41,27.08,1,No,AK,0.02,No,Low
No,Yes,136,24.33,2,No,OH,0.02,No,Low
No,Yes,143,31.72,1,No,KS,0.0,No,Low
No,Yes,118,29.04,5,Yes,MS,0.68,Yes,High
No,Yes,193,21.08,1,No,VT,0.0,No,Low
No,No,73,33.71,3,No,NE,0.03,No,Low
No,No,62,29.38,2,No,VA,0.01,No,Low
No,Yes,30,36.96,0,No,DE,0.01,No,Low
Yes,Yes,60,45.2,0,Yes,AL,0.9,Yes,Critical
No,Yes,148,15.91,1,No,ID,0.01,No,Low
No,No,96,16.69,2,No,MS,0.07,No,Low
No,No,87,28.59,1,No,NM,0.01,No,Low
No,No,41,34.49,3,No,WI,0.0,No,Low
No,No,112,44.44,1,No,WV,0.0,No,Low
No,No,88,12.46,4,Yes,SC,0.88,Yes,Critical
No,Yes,122,43.13,7,No,KY,0.04,No,Low
No,No,61,7.65,2,No,MO,0.0,No,Low
No,No,176,8.06,2,No,OK,0.01,No,Low
No,No,30,38.66,0,No,MI,0.18,No,Low
No,No,46,21.22,2,No,ID,0.03,No,Low
Yes,No,100,11.65,0,No,DC,0.12,No,Low
No,Yes,47,27.8,2,No,NY,0.0,No,Low
No,No,77,27.71,2,No,AL,0.01,No,Low
No,Yes,98,36.33,2,No,OR,0.01,No,Low
No,Yes,125,34.22,1,No,OK,0.1,No,Low
No,No,194,8.23,1,No,NE,0.09,No,Low
No,Yes,128,29.1,1,No,TX,0.04,No,Low
No,Yes,190,28.31,0,No,UT,0.02,No,Low
No,No,59,18.33,2,No,NY,0.06,No,Low
No,Yes,47,24.02,1,No,AL,0.01,No,Low
Yes,Yes,152,40.38,9,Yes,MN,0.73,Yes,High
No,Yes,95,22.02,1,No,RI,0.02,No,Low
No,Yes,31,17.02,0,No,CT,0.01,No,Low
No,Yes,121,40.31,4,No,OK,0.02,No,Low
No,No,111,29.38,4,Yes,AK,0.81,Yes,Critical
No,No,44,48.98,3,Yes,GA,0.97,Yes,Critical
Yes,No,61,13.29,2,No,UT,0.02,No,Low
No,No,65,25.28,2,No,NM,0.04,No,Low
No,Yes,74,33.08,2,No,NE,0.0,No,Low
No,No,123,27.12,0,No,NJ,0.03,No,Low
No,Yes,58,33.07,1,No,TX,0.02,No,Low
No,No,74,29.6,2,Yes,MT,0.67,Yes,High
No,No,125,22.41,2,No,CO,0.0,No,Low
No,Yes,53,24.96,0,No,RI,0.03,No,Low
No,Yes,99,34.12,1,No,WY,0.01,No,Low
No,No,99,24.75,1,No,ID,0.07,No,Low
No,Yes,66,39.0,2,No,CT,0.01,No,Low
No,No,97,35.87,3,No,ME,0.01,No,Low
Yes,No,85,36.72,2,No,MD,0.21,No,Low
No,No,108,49.81,2,No,IN,0.32,No,Medium
Yes,Yes,133,37.59,2,Yes,NC,0.71,Yes,High
No,No,51,30.86,1,No,DE,0.04,No,Low
No,Yes,186,12.63,2,No,MN,0.02,No,Low
Yes,No,44,10.59,1,No,WI,0.26,No,Low
No,Yes,64,38.86,3,No,FL,0.04,No,Low
No,Yes,114,52.68,1,No,SD,0.06,No,Low
No,No,92,34.32,3,No,FL,0.02,No,Low
No,No,110,25.47,2,No,OR,0.04,No,Low
No,Yes,90,31.25,1,No,CO,0.0,No,Low
No,Yes,72,31.74,1,No,CT,0.02,No,Low
No,No,113,35.6,1,Yes,IN,0.72,Yes,High
No,Yes,171,37.94,3,No,PA,0.02,No,Low
No,No,104,27.91,1,No,NM,0.0,No,Low
No,No,165,25.59,1,No,ME,0.01,No,Low
No,No,104,39.81,0,Yes,SD,0.76,Yes,Critical
No,No,110,9.4,1,No,AR,0.03,No,Low
Yes,No,90,37.71,1,No,TX,0.12,No,Low
No,No,114,28.83,1,No,NH,0.03,No,Low
No,No,109,37.21,2,No,AL,0.16,No,Low
No,No,92,29.97,2,No,OK,0.0,No,Low
No,Yes,82,35.22,2,No,ME,0.0,No,Low
No,No,90,34.97,2,No,WV,0.03,No,Low
No,Yes,87,25.74,1,No,HI,0.01,No,Low
No,No,124,26.78,3,No,MN,0.0,No,Low
No,No,84,27.03,1,No,AZ,0.01,No,Low
No,Yes,75,36.4,0,No,OH,0.01,No,Low
No,No,102,17.44,2,No,MI,0.06,No,Low
Yes,No,62,27.15,0,Yes,MA,0.91,Yes,Critical
No,No,143,34.48,1,No,WV,0.04,No,Low
No,No,53,9.78,3,No,MI,0.02,No,Low
No,No,112,57.04,2,Yes,MO,0.91,Yes,Critical
No,No,129,23.72,0,No,RI,0.01,No,Low
No,No,28,31.93,0,No,WY,0.03,No,Low
No,No,90,32.93,1,No,KY,0.04,No,Low
No,No,151,26.59,4,No,OR,0.13,No,Low
No,Yes,41,40.77,2,No,DC,0.02,No,Low
No,Yes,48,29.24,1,No,UT,0.03,No,Low
No,No,153,33.22,1,No,VA,0.0,No,Low
Yes,No,110,49.86,0,Yes,KS,0.93,Yes,Critical
No,No,163,32.52,1,No,KS,0.02,No,Low
No,No,126,20.81,1,No,DC,0.0,No,Low
No,No,126,27.44,0,No,DC,0.05,No,Low
No,No,97,24.51,3,No,TX,0.05,No,Low
Yes,Yes,95,37.43,0,Yes,NJ,0.78,Yes,Critical
No,No,87,43.55,4,No,DE,0.13,No,Low
No,No,97,19.16,1,No,VT,0.03,No,Low
No,No,76,50.92,0,Yes,GA,0.91,Yes,Critical
No,No,140,33.12,0,No,TX,0.05,No,Low
No,No,169,17.14,0,No,MT,0.02,No,Low
No,Yes,68,14.03,3,No,ND,0.03,No,Low
No,Yes,122,24.89,2,No,NJ,0.05,No,Low
