customerID,Contract,PaymentMethod,tenure,InternetService,OnlineSecurity,TechSupport,MonthlyCharges,Churn,churn_probability,predicted_churn,risk_tier
4190-MFLUW,Month-to-month,Credit card (automatic),10,DSL,No,Yes,55.2,Yes,0.15,No,Low
4183-MYFRB,Month-to-month,Electronic check,21,Fiber optic,No,No,90.05,No,0.2,No,Low
8779-QRDMV,Month-to-month,Electronic check,1,DSL,No,No,39.65,Yes,0.95,Yes,Critical
1680-VDCWW,One year,Bank transfer (automatic),12,No,No internet service,No internet service,19.8,No,0.01,No,Low
1066-JKSGK,Month-to-month,Mailed check,1,No,No internet service,No internet service,20.15,Yes,0.9845238095238095,Yes,Critical
3638-WEABW,Two year,Credit card (automatic),58,DSL,No,Yes,59.9,No,0.02,No,Low
6322-HRPFA,Month-to-month,Credit card (automatic),49,DSL,Yes,Yes,59.6,No,0.02,No,Low
6865-JZNKO,Month-to-month,Bank transfer (automatic),30,DSL,Yes,No,55.3,No,0.04,No,Low
6467-CHFZW,Month-to-month,Electronic check,47,Fiber optic,No,No,99.35,Yes,0.71,Yes,High
8665-UTDHZ,Month-to-month,Electronic check,1,DSL,No,No,30.2,Yes,0.8,Yes,Critical
5248-YGIJN,Two year,Credit card (automatic),72,DSL,Yes,Yes,90.25,No,0.0,No,Low
8773-HHUOZ,Month-to-month,Mailed check,17,DSL,No,No,64.7,Yes,0.66,Yes,High
3841-NFECX,Two year,Credit card (automatic),71,Fiber optic,Yes,Yes,96.35,No,0.02,No,Low
4929-XIHVW,Month-to-month,Credit card (automatic),2,Fiber optic,No,No,95.5,No,0.3,No,Medium
6827-IEAUQ,One year,Mailed check,27,DSL,Yes,Yes,66.15,No,0.02,No,Low
7310-EGVHZ,Month-to-month,Bank transfer (automatic),1,No,No internet service,No internet service,20.2,No,0.2583333333333333,No,Low
3413-BMNZE,Month-to-month,Bank transfer (automatic),1,DSL,No,No,45.25,No,0.17,No,Low
6234-RAAPL,Two year,Bank transfer (automatic),72,Fiber optic,Yes,Yes,99.9,No,0.01,No,Low
6047-YHPVI,Month-to-month,Electronic check,5,Fiber optic,No,No,69.7,Yes,0.76,Yes,Critical
6572-ADKRS,Month-to-month,Credit card (automatic),46,Fiber optic,No,No,74.8,No,0.09,No,Low
5380-WJKOV,Month-to-month,Electronic check,34,Fiber optic,No,No,106.35,Yes,0.81,Yes,Critical
8168-UQWWF,Month-to-month,Bank transfer (automatic),11,Fiber optic,No,No,97.85,Yes,0.98,Yes,Critical
8865-TNMNX,One year,Mailed check,10,DSL,No,No,49.55,No,0.04,No,Low
9489-DEDVP,Two year,Credit card (automatic),70,DSL,Yes,No,69.2,No,0.01,No,Low
9867-JCZSP,One year,Mailed check,17,No,No internet service,No internet service,20.75,No,0.01,No,Low
4671-VJLCL,Two year,Credit card (automatic),63,DSL,Yes,Yes,79.85,No,0.0,No,Low
4080-IIARD,Month-to-month,Electronic check,13,DSL,Yes,Yes,76.2,No,0.11,No,Low
3714-NTNFO,Month-to-month,Electronic check,49,Fiber optic,No,No,84.5,No,0.19,No,Low
5948-UJZLF,Month-to-month,Mailed check,2,DSL,No,No,49.25,No,0.21,No,Low
7760-OYPDY,Month-to-month,Electronic check,2,Fiber optic,No,No,80.65,Yes,0.94,Yes,Critical
7639-LIAYI,Two year,Credit card (automatic),52,DSL,Yes,Yes,79.75,No,0.0,No,Low
2954-PIBKO,Two year,Credit card (automatic),69,DSL,Yes,Yes,64.15,No,0.03,No,Low
8012-SOUDQ,Month-to-month,Electronic check,43,Fiber optic,No,No,90.25,No,0.18,No,Low
9420-LOJKX,Month-to-month,Credit card (automatic),15,Fiber optic,Yes,No,99.1,Yes,0.65,Yes,High
6575-SUVOI,Month-to-month,Credit card (automatic),25,DSL,Yes,Yes,69.5,No,0.08,No,Low
7495-OOKFY,Month-to-month,Credit card (automatic),8,Fiber optic,No,No,80.65,Yes,0.72,Yes,High
4667-QONEA,One year,Credit card (automatic),60,DSL,Yes,Yes,74.85,No,0.03,No,Low
1658-BYGOY,Month-to-month,Electronic check,18,Fiber optic,No,No,95.45,Yes,0.87,Yes,Critical
8769-KKTPH,One year,Credit card (automatic),63,Fiber optic,Yes,No,99.65,No,0.15,No,Low
5067-XJQFU,One year,Electronic check,66,Fiber optic,No,Yes,108.45,No,0.15,No,Low
3957-SQXML,Two year,Credit card (automatic),34,No,No internet service,No internet service,24.95,No,0.0,No,Low
5954-BDFSG,Two year,Credit card (automatic),72,Fiber optic,No,Yes,107.5,No,0.08,No,Low
0434-CSFON,Month-to-month,Electronic check,47,Fiber optic,No,No,100.5,No,0.17,No,Low
1215-FIGMP,Month-to-month,Bank transfer (automatic),60,Fiber optic,No,No,89.9,No,0.17,No,Low
0526-SXDJP,Two year,Bank transfer (automatic),72,DSL,Yes,No,42.1,No,0.02,No,Low
0557-ASKVU,One year,Credit card (automatic),18,DSL,No,Yes,54.4,No,0.02,No,Low
5698-BQJOH,Month-to-month,Electronic check,9,Fiber optic,No,No,94.4,Yes,0.68,Yes,High
5122-CYFXA,Month-to-month,Electronic check,3,DSL,No,Yes,75.3,No,0.12,No,Low
8627-ZYGSZ,One year,Electronic check,47,Fiber optic,No,No,78.9,No,0.05,No,Low
3410-YOQBQ,Two year,Mailed check,31,DSL,No,Yes,79.2,No,0.01,No,Low
3170-NMYVV,Two year,Bank transfer (automatic),50,No,No internet service,No internet service,20.15,No,0.0,No,Low
7410-OIEDU,Month-to-month,Mailed check,10,Fiber optic,Yes,No,79.85,No,0.05,No,Low
2273-QCKXA,Month-to-month,Mailed check,1,DSL,No,Yes,49.05,No,0.2,No,Low
0731-EBJQB,One year,Electronic check,52,No,No internet service,No internet service,20.4,No,0.0,No,Low
1891-QRQSA,Two year,Bank transfer (automatic),64,Fiber optic,Yes,Yes,111.6,No,0.07,No,Low
8028-PNXHQ,Two year,Bank transfer (automatic),62,No,No internet service,No internet service,24.25,No,0.0,No,Low
5630-AHZIL,Month-to-month,Bank transfer (automatic),3,DSL,Yes,Yes,64.5,No,0.29,No,Low
2673-CXQEU,One year,Electronic check,56,Fiber optic,Yes,No,110.5,No,0.19,No,Low
6416-JNVRK,One year,Credit card (automatic),46,DSL,No,No,55.65,No,0.03,No,Low
5590-ZSKRV,Month-to-month,Mailed check,8,DSL,Yes,No,54.65,No,0.09,No,Low
0191-ZHSKZ,Month-to-month,Electronic check,30,DSL,Yes,No,74.75,No,0.12,No,Low
3887-PBQAO,One year,Credit card (automatic),45,No,No internet service,No internet service,25.9,No,0.01,No,Low
5919-TMRGD,Month-to-month,Electronic check,1,Fiber optic,No,No,79.35,Yes,0.87,Yes,Critical
8108-UXRQN,Month-to-month,Electronic check,11,DSL,Yes,No,50.55,No,0.15,No,Low
9191-MYQKX,Month-to-month,Bank transfer (automatic),7,Fiber optic,No,No,75.15,Yes,0.87,Yes,Critical
9919-YLNNG,Month-to-month,Bank transfer (automatic),42,Fiber optic,No,Yes,103.8,No,0.14,No,Low
0318-ZOPWS,Two year,Bank transfer (automatic),49,No,No internet service,No internet service,20.15,No,0.0,No,Low
4445-ZJNMU,Month-to-month,Credit card (automatic),9,Fiber optic,No,No,99.3,No,0.83,Yes,Critical
4808-YNLEU,One year,Bank transfer (automatic),35,DSL,Yes,No,62.15,No,0.02,No,Low
1862-QRWPE,Two year,Bank transfer (automatic),48,No,No internet service,No internet service,20.65,No,0.01,No,Low
2796-NNUFI,Two year,Mailed check,46,No,No internet service,No internet service,19.95,No,0.0,No,Low
3016-KSVCP,Month-to-month,Mailed check,29,DSL,No,No,33.75,No,0.08,No,Low
4767-HZZHQ,Month-to-month,Bank transfer (automatic),30,Fiber optic,No,No,82.05,No,0.09,No,Low
2424-WVHPL,Month-to-month,Electronic check,1,Fiber optic,No,Yes,74.7,No,0.19,No,Low
7233-PAHHL,Two year,Mailed check,66,DSL,Yes,Yes,84.0,No,0.02,No,Low
6067-NGCEU,Month-to-month,Credit card (automatic),65,Fiber optic,Yes,No,111.05,No,0.04,No,Low
9848-JQJTX,Two year,Bank transfer (automatic),72,Fiber optic,No,No,100.9,No,0.02,No,Low
8637-XJIVR,Month-to-month,Electronic check,12,Fiber optic,Yes,No,78.95,Yes,0.77,Yes,Critical
9803-FTJCG,One year,Credit card (automatic),71,DSL,Yes,Yes,66.85,No,0.0,No,Low
0278-YXOOG,Month-to-month,Mailed check,5,No,No internet service,No internet service,21.05,Yes,0.67,Yes,High
3212-KXOCR,Two year,Bank transfer (automatic),52,No,No internet service,No internet service,21.0,No,0.02,No,Low
4598-XLKNJ,Month-to-month,Electronic check,25,Fiber optic,No,No,98.5,Yes,0.9,Yes,Critical
6380-ARCEH,Month-to-month,Mailed check,1,No,No internet service,No internet service,20.2,No,0.2640912698412698,No,Low
3679-XASPY,Month-to-month,Electronic check,1,No,No internet service,No internet service,19.45,No,0.4,No,Medium
7123-WQUHX,One year,Bank transfer (automatic),38,Fiber optic,No,Yes,95.0,No,0.03,No,Low
5386-THSLQ,One year,Bank transfer (automatic),66,DSL,No,No,45.55,No,0.05,No,Low
3192-NQECA,Two year,Bank transfer (automatic),68,Fiber optic,No,Yes,110.0,Yes,0.54,Yes,Medium
6180-YBIQI,Month-to-month,Mailed check,5,DSL,No,No,24.3,No,0.14,No,Low
6728-DKUCO,One year,Electronic check,72,Fiber optic,Yes,No,104.15,No,0.04,No,Low
9750-BOOHV,One year,Mailed check,32,DSL,Yes,No,30.15,No,0.06,No,Low
8597-CWYHH,One year,Mailed check,43,Fiber optic,No,No,94.35,No,0.09,No,Low
2848-YXSMW,Two year,Credit card (automatic),72,No,No internet service,No internet service,19.4,No,0.0,No,Low
0486-HECZI,Month-to-month,Electronic check,55,Fiber optic,Yes,No,96.75,Yes,0.29,No,Low
4549-ZDQYY,One year,Credit card (automatic),52,DSL,Yes,Yes,57.95,No,0.0,No,Low
5712-AHQNN,Month-to-month,Electronic check,43,Fiber optic,No,No,91.65,No,0.08,No,Low
4846-WHAFZ,Month-to-month,Electronic check,37,Fiber optic,No,No,76.5,Yes,0.46,No,Medium
5256-SKJGO,Two year,Electronic check,64,DSL,No,Yes,54.6,No,0.0,No,Low
3071-VBYPO,Month-to-month,Electronic check,3,Fiber optic,Yes,No,89.85,No,0.11,No,Low
9560-BBZXK,Two year,Bank transfer (automatic),36,DSL,Yes,No,31.05,No,0.01,No,Low
5299-RULOA,Month-to-month,Electronic check,10,Fiber optic,Yes,No,100.25,Yes,0.89,Yes,Critical
8402-OOOHJ,Two year,Mailed check,41,No,No internet service,No internet service,20.65,No,0.0,No,Low
9445-ZUEQE,Month-to-month,Credit card (automatic),27,Fiber optic,No,Yes,85.2,No,0.07,No,Low
1091-SOZGA,One year,Credit card (automatic),56,Fiber optic,No,No,99.8,No,0.06,No,Low
2928-HLDBA,Month-to-month,Mailed check,6,No,No internet service,No internet service,20.7,No,0.02,No,Low
0404-SWRVG,Month-to-month,Electronic check,3,Fiber optic,No,No,74.4,Yes,0.92,Yes,Critical
6497-TILVL,Month-to-month,Mailed check,7,DSL,Yes,No,50.7,No,0.1,No,Low
7219-TLZHO,Month-to-month,Mailed check,4,No,No internet service,No internet service,20.85,No,0.14,No,Low
4622-YNKIJ,Two year,Electronic check,33,Fiber optic,Yes,Yes,88.95,No,0.04,No,Low
4412-YLTKF,Month-to-month,Electronic check,27,Fiber optic,No,No,78.05,Yes,0.46,No,Medium
6734-PSBAW,Two year,Bank transfer (automatic),72,No,No internet service,No internet service,23.55,No,0.01,No,Low
3930-ZGWVE,Month-to-month,Mailed check,1,No,No internet service,No internet service,19.75,No,0.6896904761904762,Yes,High
2639-UGMAZ,One year,Electronic check,71,DSL,Yes,No,56.45,No,0.15,No,Low
2876-GZYZC,Month-to-month,Electronic check,13,Fiber optic,No,No,85.95,No,0.25,No,Low
6207-WIOLX,Month-to-month,Credit card (automatic),25,DSL,Yes,No,58.6,Yes,0.69,Yes,High
8587-XYZSF,Two year,Bank transfer (automatic),67,DSL,No,Yes,50.55,No,0.0,No,Low
3091-FYHKI,Month-to-month,Electronic check,1,DSL,No,No,35.45,Yes,0.98,Yes,Critical
2372-HWUHI,Month-to-month,Electronic check,2,DSL,No,No,44.35,Yes,0.83,Yes,Critical
7799-LGRDP,Two year,Credit card (automatic),43,No,No internet service,No internet service,25.7,No,0.02,No,Low
7850-VWJUU,Month-to-month,Bank transfer (automatic),23,Fiber optic,Yes,No,75.0,No,0.12,No,Low
3774-VBNXY,Two year,Mailed check,64,No,No internet service,No internet service,20.2,No,0.0,No,Low
6217-KDYWC,Two year,Mailed check,57,No,No internet service,No internet service,19.6,No,0.01,No,Low
0390-DCFDQ,Month-to-month,Mailed check,1,Fiber optic,No,No,70.45,Yes,0.66,Yes,High
3146-MSEGF,Two year,Credit card (automatic),72,DSL,Yes,Yes,88.05,No,0.0,No,Low
4080-OGPJL,Month-to-month,Electronic check,8,DSL,Yes,Yes,71.15,Yes,0.57,Yes,High
1095-WGNGG,Two year,Bank transfer (automatic),61,Fiber optic,No,No,101.05,No,0.1,No,Low
2636-SJDOU,One year,Credit card (automatic),64,Fiber optic,Yes,No,84.3,No,0.0,No,Low
1131-QQZEB,Two year,Bank transfer (automatic),71,No,No internet service,No internet service,23.95,No,0.0,No,Low
5716-EZXZN,Two year,Credit card (automatic),65,Fiber optic,Yes,Yes,99.05,No,0.02,No,Low
6837-BJYDQ,One year,Mailed check,3,No,No internet service,No internet service,19.6,No,0.0,No,Low
2135-RXIHG,Month-to-month,Electronic check,1,DSL,No,No,45.65,Yes,0.94,Yes,Critical
6440-DKQGE,One year,Credit card (automatic),30,DSL,No,No,64.5,No,0.04,No,Low
3466-BYAVD,Month-to-month,Mailed check,15,DSL,No,Yes,69.5,No,0.05,No,Low
3780-YVMFA,Month-to-month,Electronic check,8,DSL,No,Yes,68.55,No,0.46,No,Medium
3874-EQOEP,Month-to-month,Mailed check,7,Fiber optic,No,No,95.0,Yes,0.88,Yes,Critical
1679-JRFBR,One year,Credit card (automatic),70,Fiber optic,Yes,No,108.15,No,0.04,No,Low
9073-ZZIAY,Two year,Electronic check,62,DSL,Yes,Yes,86.1,No,0.01,No,Low
3077-RSNTJ,Month-to-month,Mailed check,6,No,No internet service,No internet service,19.7,No,0.06,No,Low
6551-GNYDG,Month-to-month,Bank transfer (automatic),14,Fiber optic,No,No,80.9,No,0.32,No,Medium
9167-APMXZ,Month-to-month,Bank transfer (automatic),22,Fiber optic,No,No,84.15,No,0.32,No,Medium
2749-CTKAJ,One year,Mailed check,22,No,No internet service,No internet service,20.15,No,0.0,No,Low
6371-NZYEG,Two year,Mailed check,16,DSL,Yes,No,64.25,No,0.01,No,Low
7554-NEWDD,Two year,Bank transfer (automatic),10,No,No internet service,No internet service,25.7,No,0.02,No,Low
8992-VONJD,Month-to-month,Electronic check,13,DSL,Yes,No,56.0,No,0.12,No,Low
0867-MKZVY,Month-to-month,Electronic check,20,Fiber optic,Yes,No,82.4,Yes,0.66,Yes,High
4482-EWFMI,Month-to-month,Electronic check,2,Fiber optic,No,No,69.7,No,0.29,No,Low
4648-YPBTM,Two year,Bank transfer (automatic),53,DSL,No,Yes,73.9,No,0.01,No,Low
2907-ILJBN,One year,Mailed check,11,No,No internet service,No internet service,20.6,No,0.12,No,Low
6345-FZOQH,Two year,Mailed check,69,No,No internet service,No internet service,19.9,No,0.0,No,Low
3376-BMGFE,Month-to-month,Bank transfer (automatic),4,Fiber optic,No,No,70.9,Yes,0.88,Yes,Critical
5997-OPVFA,Two year,Bank transfer (automatic),72,DSL,Yes,Yes,89.05,No,0.0,No,Low
3445-HXXGF,Month-to-month,Electronic check,58,DSL,No,No,45.3,Yes,0.76,Yes,Critical
1159-WFSGR,Month-to-month,Electronic check,16,No,No internet service,No internet service,20.4,No,0.02,No,Low
7654-YWJUF,One year,Bank transfer (automatic),43,Fiber optic,Yes,Yes,84.25,No,0.01,No,Low
1875-QIVME,Month-to-month,Electronic check,2,Fiber optic,No,Yes,104.4,Yes,0.93,Yes,Critical
6727-IOTLZ,Two year,Mailed check,14,DSL,No,Yes,81.95,No,0.01,No,Low
0691-JVSYA,One year,Bank transfer (automatic),53,Fiber optic,No,No,94.85,Yes,0.62,Yes,High
5918-VUKWP,One year,Bank transfer (automatic),32,No,No internet service,No internet service,20.55,No,0.01,No,Low
1744-JHKYS,Month-to-month,Electronic check,34,No,No internet service,No internet service,24.7,No,0.03,No,Low
2656-FMOKZ,Month-to-month,Mailed check,15,Fiber optic,No,No,74.45,Yes,0.92,Yes,Critical
2070-FNEXE,Month-to-month,Bank transfer (automatic),7,Fiber optic,Yes,No,76.45,Yes,0.25,No,Low
5947-SGKCL,Month-to-month,Bank transfer (automatic),15,Fiber optic,No,No,105.35,No,0.27,No,Low
3712-PKXZA,One year,Credit card (automatic),61,No,No internet service,No internet service,20.55,No,0.01,No,Low
6317-YPKDH,Month-to-month,Bank transfer (automatic),1,DSL,No,No,29.95,Yes,0.31,No,Medium
6582-OIVSP,Month-to-month,Mailed check,1,DSL,No,No,45.3,No,0.07,No,Low
9367-WXLCH,Month-to-month,Bank transfer (automatic),8,Fiber optic,No,No,84.5,Yes,0.81,Yes,Critical
5524-KHNJP,One year,Credit card (automatic),33,DSL,Yes,No,74.75,No,0.15,No,Low
1918-ZBFQJ,Month-to-month,Electronic check,13,Fiber optic,No,No,79.25,Yes,0.89,Yes,Critical
1024-GUALD,Month-to-month,Electronic check,1,DSL,No,No,24.8,Yes,0.69,Yes,High
4827-USJHP,Month-to-month,Mailed check,20,DSL,No,No,51.8,No,0.08,No,Low
8167-GJLRN,Month-to-month,Electronic check,3,DSL,No,Yes,30.4,No,0.08,No,Low
0956-SYCWG,One year,Electronic check,13,No,No internet service,No internet service,19.65,No,0.01,No,Low
8017-UVSZU,Month-to-month,Credit card (automatic),40,DSL,No,No,56.6,No,0.04,No,Low
7100-FQPRV,One year,Credit card (automatic),43,DSL,Yes,Yes,71.9,No,0.02,No,Low
2472-OVKUP,Month-to-month,Electronic check,6,Fiber optic,No,No,91.0,Yes,0.83,Yes,Critical
2984-RGEYA,Two year,Bank transfer (automatic),69,No,No internet service,No internet service,19.75,No,0.01,No,Low
9680-NIAUV,Two year,Credit card (automatic),72,Fiber optic,Yes,No,109.7,No,0.01,No,Low
2146-EGVDT,Two year,Credit card (automatic),59,No,No internet service,No internet service,19.3,No,0.01,No,Low
2604-IJPDU,Month-to-month,Electronic check,20,Fiber optic,Yes,Yes,96.55,No,0.42,No,Medium
9178-JHUVJ,Two year,Bank transfer (automatic),24,No,No internet service,No internet service,24.1,No,0.0,No,Low
6168-YBYNP,Month-to-month,Electronic check,59,Fiber optic,No,Yes,111.35,No,0.21,No,Low
7255-SSFBC,Two year,Bank transfer (automatic),72,Fiber optic,No,Yes,112.25,No,0.01,No,Low
3645-DEYGF,Month-to-month,Mailed check,1,No,No internet service,No internet service,20.75,No,0.07,No,Low
9323-HGFWY,One year,Credit card (automatic),27,Fiber optic,Yes,Yes,101.9,No,0.13,No,Low
8544-GOQSH,Month-to-month,Credit card (automatic),14,Fiber optic,No,Yes,80.05,No,0.22,No,Low
3363-DTIVD,Two year,Electronic check,71,Fiber optic,Yes,No,105.55,No,0.05,No,Low
7018-WBJNK,Month-to-month,Credit card (automatic),13,Fiber optic,No,No,78.3,No,0.47,No,Medium
9142-KZXOP,Month-to-month,Credit card (automatic),44,Fiber optic,No,No,68.85,No,0.09,No,Low
7674-YTAFD,One year,Bank transfer (automatic),33,Fiber optic,No,Yes,79.95,No,0.01,No,Low
6348-SNFUS,Two year,Credit card (automatic),72,DSL,Yes,Yes,55.45,No,0.0,No,Low
1285-OKIPP,Month-to-month,Electronic check,1,Fiber optic,No,No,79.9,Yes,0.98,Yes,Critical
7825-ECJRF,Month-to-month,Electronic check,19,Fiber optic,Yes,Yes,106.6,Yes,0.79,Yes,Critical
1347-KTTTA,One year,Credit card (automatic),64,Fiber optic,No,Yes,102.45,No,0.07,No,Low
7841-TZDMQ,Month-to-month,Credit card (automatic),2,DSL,No,No,46.0,Yes,0.89,Yes,Critical
4195-NZGTA,Month-to-month,Electronic check,1,DSL,No,No,25.25,No,0.21,No,Low
7157-SMCFK,Two year,Mailed check,61,No,No internet service,No internet service,19.75,No,0.12,No,Low
4709-LKHYG,One year,Electronic check,29,No,No internet service,No internet service,20.0,No,0.0,No,Low
2504-DSHIH,Month-to-month,Electronic check,23,Fiber optic,No,No,86.8,No,0.26,No,Low
0699-NDKJM,Month-to-month,Bank transfer (automatic),57,DSL,Yes,No,58.75,No,0.09,No,Low
9286-BHDQG,Two year,Credit card (automatic),72,DSL,Yes,Yes,45.25,No,0.04,No,Low
0230-WEQUW,Two year,Bank transfer (automatic),66,DSL,Yes,Yes,56.6,No,0.0,No,Low
2040-LDIWQ,Two year,Bank transfer (automatic),65,DSL,No,Yes,84.2,No,0.0,No,Low
6496-JDSSB,Month-to-month,Bank transfer (automatic),8,Fiber optic,No,No,80.0,No,0.31,No,Medium
9408-SSNVZ,Month-to-month,Electronic check,4,Fiber optic,No,No,70.15,Yes,0.72,Yes,High
4443-EMBNA,Two year,Bank transfer (automatic),71,No,No internet service,No internet service,24.75,No,0.0,No,Low
6469-MRVET,One year,Electronic check,1,No,No internet service,No internet service,20.2,No,0.12,No,Low
0742-MOABM,Month-to-month,Mailed check,4,DSL,No,Yes,50.05,Yes,0.33,No,Medium
5961-VUSRV,One year,Bank transfer (automatic),12,No,No internet service,No internet service,19.35,No,0.02,No,Low
6778-JFCMK,One year,Mailed check,24,DSL,Yes,No,50.6,No,0.07,No,Low
6341-JVQGF,One year,Mailed check,31,DSL,Yes,Yes,81.15,No,0.06,No,Low
2232-DMLXU,Month-to-month,Mailed check,1,DSL,No,No,55.2,Yes,0.75,Yes,Critical
4811-JBUVU,Month-to-month,Credit card (automatic),30,Fiber optic,No,Yes,89.9,No,0.16,No,Low
0945-TSONX,Two year,Credit card (automatic),47,DSL,Yes,Yes,85.3,No,0.0,No,Low
2651-ZCBXV,Two year,Credit card (automatic),54,Fiber optic,Yes,Yes,108.0,No,0.16,No,Low
3316-UWXUY,Month-to-month,Credit card (automatic),50,Fiber optic,Yes,Yes,93.5,No,0.09,No,Low
8937-RDTHP,Month-to-month,Mailed check,1,Fiber optic,Yes,No,84.6,Yes,0.77,Yes,Critical
7083-MIOPC,Two year,Credit card (automatic),72,No,No internet service,No internet service,20.25,No,0.0,No,Low
1984-GPTEH,Month-to-month,Electronic check,29,No,No internet service,No internet service,25.15,No,0.05,No,Low
1251-KRREG,Month-to-month,Mailed check,2,DSL,No,No,54.4,Yes,0.78,Yes,Critical
0621-JFHOL,Two year,Mailed check,10,DSL,No,Yes,29.6,No,0.07,No,Low
9903-LYSAB,Month-to-month,Electronic check,18,Fiber optic,No,No,73.15,No,0.16,No,Low
0094-OIFMO,Month-to-month,Electronic check,11,Fiber optic,No,No,95.0,Yes,0.89,Yes,Critical
9227-UAQFT,Two year,Mailed check,16,No,No internet service,No internet service,19.75,No,0.01,No,Low
7301-ABVAD,Two year,Bank transfer (automatic),72,DSL,No,Yes,86.6,No,0.0,No,Low
6614-FHDBO,Two year,Bank transfer (automatic),72,Fiber optic,No,Yes,109.2,No,0.05,No,Low
7576-ASEJU,One year,Credit card (automatic),41,DSL,Yes,Yes,74.7,No,0.1,No,Low
9058-HRZSV,Month-to-month,Electronic check,65,Fiber optic,Yes,No,94.4,No,0.05,No,Low
4522-AKYLR,Month-to-month,Electronic check,13,DSL,No,No,54.8,No,0.04,No,Low
0221-WMXNQ,Month-to-month,Electronic check,4,Fiber optic,Yes,No,75.35,No,0.09,No,Low
0303-UNCIP,One year,Mailed check,41,DSL,No,No,65.0,No,0.08,No,Low
9947-OTFQU,Month-to-month,Electronic check,15,Fiber optic,No,No,74.4,Yes,0.93,Yes,Critical
0322-YINQP,Month-to-month,Mailed check,1,DSL,Yes,No,48.55,Yes,0.77,Yes,Critical
0959-WHOKV,One year,Electronic check,42,Fiber optic,Yes,No,99.0,No,0.1,No,Low
4075-JFPGR,One year,Electronic check,51,Fiber optic,Yes,No,93.5,No,0.13,No,Low
4629-NRXKX,Month-to-month,Electronic check,2,Fiber optic,No,No,70.4,Yes,0.76,Yes,Critical
9514-JDSKI,Month-to-month,Electronic check,1,DSL,No,No,40.2,Yes,0.87,Yes,Critical
3282-ZISZV,One year,Credit card (automatic),32,DSL,No,Yes,83.7,No,0.02,No,Low
3675-YDUPJ,Month-to-month,Mailed check,10,No,No internet service,No internet service,19.85,No,0.05,No,Low
4111-BNXIF,Two year,Electronic check,67,DSL,No,Yes,59.55,No,0.01,No,Low
7017-VFHAY,Two year,Credit card (automatic),61,Fiber optic,Yes,Yes,115.1,No,0.01,No,Low
6655-LHBYW,One year,Credit card (automatic),50,Fiber optic,Yes,Yes,114.35,No,0.06,No,Low
4959-JOSRX,Month-to-month,Credit card (automatic),2,DSL,No,No,44.6,Yes,0.78,Yes,Critical
5046-NUHWD,Month-to-month,Electronic check,29,DSL,Yes,No,45.0,No,0.18,No,Low
7273-TEFQD,Month-to-month,Electronic check,3,DSL,No,No,41.15,Yes,0.85,Yes,Critical
3606-TWKGI,Month-to-month,Electronic check,13,Fiber optic,No,No,106.9,Yes,0.87,Yes,Critical
7529-ZDFXI,Month-to-month,Electronic check,57,Fiber optic,No,No,89.85,No,0.42,No,Medium
7605-BDWDC,Two year,Bank transfer (automatic),31,DSL,Yes,Yes,49.85,No,0.0,No,Low
1950-KSVVJ,One year,Mailed check,45,Fiber optic,Yes,Yes,113.3,No,0.03,No,Low
0123-CRBRT,Two year,Mailed check,61,DSL,Yes,Yes,88.1,No,0.0,No,Low
6292-TOSSS,Two year,Bank transfer (automatic),50,No,No internet service,No internet service,24.9,No,0.04,No,Low
